ID,Target
4148,2
13224,3
9754,6
9159,6
10139,3
833,5
11776,3
10956,3
5331,2
11061,3
2717,0
4559,2
7513,6
9211,6
12182,3
10727,3
2482,0
11423,3
3206,0
4916,2
8214,6
2277,0
3481,1
8632,6
3487,1
7450,6
3475,1
9370,6
11311,3
4373,2
8332,6
11012,3
4105,2
10733,3
2246,0
12695,3
6513,4
8770,6
8744,6
13240,3
9501,6
6929,4
4122,2
36,5
6702,4
8910,6
4359,2
4912,2
6129,4
8274,6
11202,3
3651,1
1243,5
6325,4
7945,6
9233,6
8449,6
10232,3
8635,6
2126,0
4685,2
2612,0
10509,3
4549,2
6805,4
152,5
9425,6
7057,4
4052,2
10511,3
7155,4
9364,6
4054,2
772,5
498,5
7432,6
3982,2
1643,5
3572,1
8719,6
1337,5
9714,6
9432,6
13582,3
7379,4
8152,6
9630,6
4577,2
1553,5
4978,2
387,5
9302,6
11619,3
13488,3
11155,3
2638,0
1484,5
4310,2
7449,6
3552,1
7482,6
11035,3
7256,4
11590,3
10584,3
2012,5
13444,3
3126,0
8523,6
12385,3
3248,0
8032,6
9123,6
9595,6
10255,3
10879,3
4867,2
9855,6
10285,3
12943,3
11765,3
10378,3
10617,3
3437,1
6460,4
7680,6
13256,3
12111,3
7152,4
7803,6
12653,3
9093,6
7285,4
10462,3
9526,6
6080,4
261,5
12354,3
8763,6
4779,2
12375,3
4224,2
7411,4
8417,6
10765,3
5030,2
4139,2
12783,3
9871,6
8791,6
12467,3
3150,0
893,5
4791,2
338,5
2459,0
1156,5
7133,4
1597,5
7667,6
8569,6
4004,2
436,5
7642,6
668,5
6556,4
1282,5
11391,3
2500,0
8595,6
11514,3
6015,4
3594,1
4845,2
12841,3
2807,0
7142,4
1737,5
5872,4
403,5
1769,5
11219,3
7165,4
9598,6
6963,4
5482,2
2572,0
11997,3
7847,6
1622,5
10809,3
5902,4
6804,4
3589,1
13242,3
10937,3
9803,6
9484,6
2851,0
6402,4
2141,0
7498,6
8775,6
3657,1
2614,0
7423,4
449,5
628,5
1281,5
8154,6
8819,6
259,5
9025,6
4193,2
3256,0
9933,6
11969,3
3586,1
905,5
7048,4
12142,3
12484,3
5617,4
2237,0
5138,2
3387,1
1210,5
5847,4
5115,2
9919,6
5980,4
10044,6
2266,0
11698,3
11568,3
6163,4
4411,2
12887,3
1262,5
7882,6
10641,3
12293,3
12297,3
4666,2
9937,6
8291,6
4854,2
9054,6
8137,6
10854,3
4741,2
7695,6
8570,6
10533,3
12965,3
11988,3
4465,2
8789,6
12450,3
5279,2
10093,3
8444,6
2697,0
3204,0
11440,3
3759,1
8687,6
2171,0
4840,2
1570,5
4161,2
12117,3
11320,3
12501,3
4066,2
1270,5
1395,5
4573,2
8352,6
4325,2
4285,2
5742,4
4921,2
4194,2
3141,0
13384,3
6739,4
4505,2
11676,3
633,5
4441,2
12203,3
5348,2
1333,5
5209,2
12072,3
841,5
8257,6
2671,0
4986,2
9931,6
12212,3
7503,6
2248,0
12569,3
10008,6
2160,0
2207,0
6502,4
8144,6
715,5
8230,6
13382,3
6240,4
163,5
6729,4
2173,0
8250,6
11731,3
6177,4
12198,3
12426,3
5335,2
8773,6
11910,3
12431,3
4745,2
11525,3
7710,6
6497,4
3819,1
10614,3
11483,3
5095,2
2874,0
8121,6
13441,3
3712,1
52,5
10410,3
1988,5
4455,2
1335,5
12709,3
4554,2
10740,3
8157,6
11435,3
1441,5
1026,5
12516,3
10484,3
12953,3
575,5
13063,3
11217,3
2799,0
8221,6
4983,2
3977,2
8514,6
7407,4
7859,6
3349,1
6062,4
8072,6
12267,3
7716,6
961,5
9651,6
5893,4
6723,4
11220,3
7994,6
4797,2
12970,3
2758,0
4698,2
12514,3
9390,6
4130,2
3154,0
1332,5
1519,5
3321,0
8935,6
8588,6
5572,4
11600,3
1120,5
7355,4
13170,3
6119,4
11566,3
2831,0
2687,0
6575,4
10134,3
9114,6
7491,6
4945,2
8849,6
4787,2
405,5
2967,0
10532,3
1059,5
517,5
1623,5
2084,0
12836,3
7858,6
4740,2
5973,4
13314,3
10346,3
5805,4
1697,5
29,5
3813,1
5222,2
345,5
6599,4
3512,1
12448,3
5528,4
10187,3
6188,4
11829,3
1318,5
8513,6
6637,4
5562,4
13416,3
2275,0
7718,6
1263,5
5113,2
1841,5
4388,2
6534,4
4460,2
12661,3
11648,3
291,5
9787,6
10501,3
1639,5
4716,2
3035,0
13060,3
10143,3
3794,1
1034,5
11507,3
6067,4
7767,6
11286,3
13555,3
11938,3
11824,3
13194,3
1856,5
5,5
8992,6
11875,3
11246,3
10488,3
3869,1
10813,3
5295,2
339,5
6097,4
5241,2
2297,0
8657,6
7315,4
4063,2
1542,5
10814,3
12319,3
4060,2
6436,4
751,5
11443,3
6180,4
2441,0
5078,2
2818,0
10354,3
7132,4
3452,1
10257,3
7310,4
6268,4
10921,3
10259,3
4327,2
4571,2
11010,3
3360,1
11937,3
4094,2
9647,6
10313,3
7338,4
5118,2
4319,2
5180,2
257,5
4273,2
9683,6
9557,6
9547,6
4014,2
13296,3
5296,2
11013,3
13161,3
8401,6
9588,6
3119,0
3468,1
909,5
6972,4
7101,4
735,5
1246,5
10018,6
4127,2
12609,3
8710,6
13196,3
10365,3
6277,4
6608,4
638,5
3366,1
11153,3
10363,3
9921,6
6846,4
7298,4
4437,2
2922,0
4013,2
3579,1
13594,3
1155,5
4918,2
4405,2
12489,3
7237,4
9117,6
3847,1
12810,3
2309,0
4235,2
2814,0
6299,4
2390,0
8730,6
3498,1
1064,5
5632,4
7848,6
12962,3
10494,3
1459,5
4642,2
1053,5
10868,3
10129,3
7158,4
9518,6
7138,4
10728,3
5059,2
6736,4
12626,3
2157,0
12662,3
8585,6
8362,6
7588,6
8381,6
4511,2
1967,5
10031,6
2890,0
6634,4
7906,6
10383,3
11973,3
12006,3
12997,3
305,5
3002,0
1027,5
1971,5
3532,1
5972,4
10637,3
4556,2
8932,6
7447,6
3600,1
8368,6
4102,2
6086,4
336,5
2228,0
11692,3
3232,0
1547,5
10027,6
9091,6
2662,0
10474,3
12482,3
13300,3
7332,4
3051,0
5174,2
8600,6
11842,3
4942,2
12956,3
1476,5
11867,3
6753,4
5514,4
1528,5
750,5
8924,6
12392,3
5157,2
2424,0
3152,0
7557,6
10181,3
2269,0
4304,2
5119,2
7597,6
10781,3
9124,6
11924,3
6559,4
8070,6
1197,5
9381,6
2323,0
674,5
8589,6
3042,0
2074,0
2189,0
3467,1
10281,3
11724,3
10260,3
4255,2
11809,3
11228,3
10225,3
7169,4
12674,3
7389,4
4632,2
9276,6
4593,2
1520,5
4041,2
1202,5
9457,6
11450,3
10468,3
3809,1
7654,6
5122,2
49,5
2999,0
1144,5
10522,3
6746,4
4331,2
12570,3
9841,6
9794,6
807,5
5695,4
2200,0
8563,6
2139,0
11287,3
11543,3
5503,4
518,5
3027,0
1696,5
6659,4
8148,6
4596,2
8925,6
3351,1
1523,5
8858,6
11933,3
4600,2
635,5
8386,6
2723,0
5506,4
11931,3
6355,4
158,5
12774,3
2474,0
13512,3
11555,3
10374,3
6783,4
4578,2
2287,0
6541,4
10713,3
2101,0
11669,3
3307,0
8933,6
10380,3
1554,5
8615,6
7274,4
5889,4
1944,5
10428,3
1665,5
3024,0
6551,4
5434,2
4635,2
2103,0
6451,4
10900,3
7073,4
7200,4
4513,2
6198,4
9617,6
12771,3
10421,3
764,5
11025,3
5414,2
9217,6
1168,5
8215,6
3231,0
6348,4
10855,3
2066,0
287,5
354,5
3358,1
7914,6
2742,0
12865,3
13341,3
13471,3
11324,3
10737,3
9941,6
1288,5
1305,5
12763,3
7451,6
2509,0
1858,5
2827,0
2229,0
3088,0
9586,6
10969,3
12443,3
9509,6
12270,3
9197,6
9237,6
4984,2
12615,3
10665,3
1163,5
1028,5
7522,6
11336,3
691,5
1976,5
7941,6
3303,0
2144,0
2903,0
5816,4
4099,2
9853,6
7591,6
955,5
10537,3
12535,3
4733,2
9660,6
11879,3
4830,2
4445,2
6947,4
4523,2
11554,3
7034,4
8649,6
4759,2
12617,3
12909,3
5841,4
8162,6
2260,0
4955,2
10732,3
5505,4
1899,5
9626,6
8339,6
3859,1
12172,3
2958,0
12414,3
7131,4
106,5
7281,4
6719,4
181,5
934,5
4590,2
6370,4
8571,6
205,5
9813,6
6969,4
885,5
5219,2
5252,2
6803,4
11494,3
3812,1
9330,6
3975,2
1324,5
1370,5
5534,4
4288,2
4937,2
7723,6
2219,0
7385,4
7441,6
1714,5
2936,0
4110,2
8720,6
1966,5
5826,4
13398,3
872,5
8668,6
6648,4
101,5
12843,3
5508,4
1652,5
3743,1
8942,6
3703,1
9430,6
6260,4
2281,0
10953,3
9346,6
12859,3
303,5
10570,3
694,5
6868,4
2052,0
5932,4
11819,3
5899,4
10805,3
2420,0
1150,5
11596,3
3827,1
3247,0
6495,4
12058,3
10162,3
759,5
9878,6
13332,3
4579,2
2733,0
12566,3
11912,3
9155,6
8991,6
678,5
12547,3
1748,5
2912,0
5741,4
4888,2
3584,1
8758,6
12669,3
1267,5
2306,0
10871,3
8619,6
11615,3
7496,6
13183,3
2548,0
5103,2
11793,3
5984,4
4215,2
12631,3
5757,4
5473,2
4479,2
7933,6
13431,3
4537,2
5395,2
5435,2
6492,4
2343,0
2811,0
9559,6
662,5
6733,4
13026,3
13039,3
8661,6
5420,2
2253,0
5071,2
1522,5
10059,6
1867,5
3973,2
1999,5
9100,6
1653,5
13197,3
627,5
5494,2
5600,4
13130,3
12864,3
10150,3
7634,6
276,5
1010,5
10103,3
8161,6
8930,6
13061,3
8604,6
9521,6
11982,3
8048,6
12480,3
12024,3
11293,3
3900,2
5671,4
6585,4
2876,0
2006,5
369,5
4709,2
8450,6
2039,0
10542,3
3954,2
13402,3
12266,3
1657,5
3494,1
9970,6
